,V0,X,Y,FFID,Elevation
5545,1.2857142857142858,377142.96,6345885.43,22295118,117.6
5546,1.125,377192.64,6345893.33,22295119,117.8
5547,1.2857142857142858,375728.33,6353858.44,23915115,126.7
5548,1.125,376244.42,6350600.94,23255115,119.8
5549,1.3846153846153846,375777.71,6353866.34,23915116,126.5
5550,1.125,376293.7,6350608.74,23255116,119.9
5551,1.0588235294117647,376343.58,6350616.64,23255117,119.9
5552,1.2857142857142858,375827.19,6353874.23,23915117,126.7
5553,1.2,375876.77,6353882.13,23915118,126.3
5554,1.2,376392.76,6350624.43,23255118,119.5
5555,1.0,377195.14,6346197.91,22355120,114.4
5556,1.3846153846153846,375926.05,6353889.93,23915119,126.0
5557,1.2857142857142858,376442.04,6350632.23,23255119,119.7
5558,0.8181818181818182,377145.86,6346190.11,22355119,114.0
5559,1.2857142857142858,375975.13,6353897.82,23915120,126.2
5560,1.2857142857142858,376491.12,6350640.13,23255120,120.0
5561,1.125,377096.58,6346182.31,22355118,114.1
5562,1.5,377046.9,6346174.41,22355117,115.2
5563,1.2857142857142858,376997.12,6346166.52,22355116,115.6
5564,1.3846153846153846,376947.94,6346158.72,22355115,115.5
5565,1.3846153846153846,376022.21,6353602.44,23855120,125.3
5566,1.0588235294117647,376538.4,6350344.45,23195120,118.5
5567,1.2,375972.93,6353594.45,23855119,125.5
5568,1.2857142857142858,375923.55,6353586.45,23855118,125.7
5569,1.2857142857142858,376489.22,6350336.65,23195119,117.9
5570,1.5,375874.27,6353578.55,23855117,125.2
5571,0.9,376439.14,6350328.65,23195118,118.1
5572,1.2857142857142858,375824.89,6353570.55,23855116,125.7
5573,1.125,376390.36,6350320.96,23195117,119.1
5574,1.3846153846153846,375775.41,6353562.56,23855115,125.9
5575,1.125,376340.78,6350313.06,23195116,120.4
5576,1.2,376900.56,6346454.9,22415115,116.1
5577,1.0588235294117647,376291.7,6350305.36,23195115,120.8
5578,1.3846153846153846,376950.44,6346462.8,22415116,115.3
5579,1.2,376999.82,6346470.6,22415117,114.7
5580,0.8181818181818182,377049.3,6346478.39,22415118,112.9
5581,1.3846153846153846,375821.99,6353267.08,23795115,124.5
5582,1.3846153846153846,377098.58,6346486.19,22415119,115.0
5583,1.125,376338.38,6350009.28,23135115,120.1
5584,1.2,375871.47,6353274.97,23795116,124.9
5585,1.3846153846153846,377147.86,6346493.99,22415120,114.9
5586,1.125,376387.46,6350017.08,23135116,119.7
5587,1.2857142857142858,375920.95,6353282.77,23795117,124.9
5588,1.0588235294117647,376437.14,6350024.87,23135117,120.1
5589,1.125,376485.93,6350032.67,23135118,119.7
5590,1.125,376535.71,6350040.57,23135119,119.5
5591,1.125,376585.59,6350048.36,23135120,119.3
5592,1.2857142857142858,377100.48,6346789.87,22475120,115.7
5593,1.2,377051.0,6346782.07,22475119,115.6
5594,1.2857142857142858,377001.82,6346774.27,22475118,115.8
5595,1.2857142857142858,376952.54,6346766.48,22475117,115.8
5596,1.125,376632.47,6349752.18,23075120,118.7
5597,1.2857142857142858,376019.61,6353298.36,23795119,125.1
5598,1.2,376902.66,6346758.58,22475116,115.3
5599,1.2857142857142858,376068.79,6353306.16,23795120,124.2
5600,1.125,376582.79,6349744.29,23075119,118.8
5601,0.9,376853.38,6346750.68,22475115,111.7
5602,1.0588235294117647,376533.81,6349736.59,23075118,119.4
5603,1.0,376483.83,6349728.59,23075117,119.5
5604,1.125,376434.25,6349720.8,23075116,119.5
5605,1.2857142857142858,376116.07,6353009.78,23735120,120.8
5606,1.0,376385.27,6349713.0,23075115,120.4
5607,1.5,376807.4,6347046.87,22535115,112.1
5608,1.3846153846153846,376066.59,6353001.98,23735119,122.0
5609,1.5,376856.98,6347054.66,22535116,112.2
5610,1.2857142857142858,376017.21,6352994.09,23735118,123.3
5611,1.6363636363636365,376906.76,6347062.56,22535117,112.4
5612,1.3846153846153846,375967.83,6352986.29,23735117,123.5
5613,1.2,375918.25,6352978.39,23735116,123.3
5614,1.2,375868.97,6352970.59,23735115,123.4
5615,1.3846153846153846,376955.74,6347070.36,22535118,113.3
5616,1.125,376432.05,6349416.82,23015115,118.1
5617,1.3846153846153846,377005.52,6347078.15,22535119,113.4
5618,1.125,376481.53,6349424.61,23015116,117.8
5619,1.3846153846153846,377054.2,6347085.85,22535120,113.5
5620,1.0588235294117647,376530.91,6349432.41,23015117,117.8
5621,1.125,376580.49,6349440.31,23015118,117.3
5622,1.0,376629.57,6349448.0,23015119,117.3
5623,1.0588235294117647,376679.05,6349455.9,23015120,117.4
5624,1.125,376725.93,6349159.72,22955120,116.8
5625,1.2,377451.64,6347452.9,22595129,110.4
5626,1.0,376676.65,6349151.92,22955119,117.0
5627,1.0588235294117647,376627.17,6349144.03,22955118,117.1
5628,1.0588235294117647,376577.89,6349136.23,22955117,117.2
5629,1.2,376528.51,6349128.43,22955116,116.6
5630,1.125,376479.23,6349120.64,22955115,117.1
5631,0.9473684210526316,377007.72,6347382.63,22595120,110.6
5632,1.2,376958.14,6347374.73,22595119,110.4
5633,1.0,376908.96,6347367.04,22595118,110.4
5634,1.5,376859.48,6347359.14,22595117,110.2
5635,1.5,376809.9,6347351.34,22595116,110.0
5636,1.2,376760.62,6347343.45,22595115,109.5
5637,1.2,376526.41,6348824.45,22895115,114.3
5638,1.2,376575.69,6348832.25,22895116,114.0
5639,1.2,376625.07,6348840.05,22895117,114.2
5640,1.125,376674.15,6348847.84,22895118,113.6
5641,1.5,376713.73,6347639.73,22655115,107.6
5642,1.2857142857142858,376723.93,6348855.64,22895119,113.5
5643,1.2857142857142858,376773.11,6348863.44,22895120,113.2
5644,1.0,376750.72,6352199.8,23555130,119.1
5645,1.2857142857142858,376763.21,6347647.62,22655116,107.8
5646,1.2857142857142858,376812.59,6347655.42,22655117,108.1
5647,1.6363636363636365,376819.99,6348567.16,22835120,106.9
